,city,community,latitude,longitude,type,price,address,beds,sq_feet,baths,cats,dogs,utilities_included
3384,Calgary,Discovery Ridge,51.012787,-114.212768,Condo Unit,2200,237 - 20 Discovery Ridge Cl SW,2,1025,2,2,2,"['Electricity', 'Water', ' ', 'Heat']"
3385,Calgary,Haysboro,50.9761845,-114.0732742,Condo Unit,2200,8710 Horton Road SW,2,1035,2,0,0,"['', 'Water', 'Heat']"
3386,Calgary,Winston Heights,51.0726642,-114.0532574,Main Floor,2200,458 22 Avenue Northeast,3,1430,2.5,2,2,"['Heat', 'Electricity', 'Water']"
3387,Calgary,Hillhurst,51.0563413,-114.0864206,Condo Unit,2100,1107 Gladstone Road Northwest,2,718,1,2,2,"['Heat', 'Water']"
3388,Calgary,Kincora,51.16634791,-114.1419021,Apartment,2100,20 Kincora Glen Park Northwest,2,740,2,0,0,"['Heat', 'See Full Description', 'Water']"
3389,Calgary,Seton,50.8665203,-113.9531149,Condo Unit,2200,2203 - 220 Seton Grove Southeast,2,900,2,2,2,"['Heat', 'Water']"
3390,Calgary,Varsity,51.09521502,-114.1522811,Main Floor,2200,,3,1278,2,0,0,"['Internet', '']"
3391,Calgary,Country Hills Village,51.1598197,-114.0561843,Apartment,2100,2404 - 43 Country Village Lane Northeast,2,855,2,0,0,"['Heat', 'Water']"
3392,Calgary,Huntington Hills,51.122195,-114.0779068,Townhouse,2100,,3,1000,1,0,0,['']
3393,Calgary,Downtown,51.0478889,-114.0867382,Condo Unit,2100,1111-6th Ave SW,1+den,650,1,2,2,"['Heat', 'Electricity', 'Water', '']"
3394,Calgary,Harvest Hills,51.1537673,-114.0442311,Apartment,2150,,2,1043,2,0,0,"['Heat', 'Water']"
3395,Calgary,Huntington Hills,51.1250611,-114.0592642,Main Floor,2200,8055 Huntington rd ne,3,900,1,0,0,['']
3396,Calgary,Auburn Bay,50.8941274,-113.9473323,Condo Unit,2200,301 - 103 Auburn Meadows View Southeast,2,861,2,0,0,"['Heat', 'Water', 'See Full Description']"
3397,Calgary,Connaught,51.0392235,-114.0928286,Condo Unit,2150,402 - 1323 15th Avenue Southwest,2,907,1.5,2,0,"['Heat', 'Water']"
3398,Calgary,Skyview,51.1504895,-113.9525169,Condo Unit,2100,1211 - 395 Skyview Parkway Northeast,2,746,2,0,0,"['Water', 'Heat']"
3399,Calgary,Panorama Hills,51.1664878,-114.0704124,Townhouse,2150,Panatella Park NW,3,,1.5,0,0,['']
3400,Calgary,Downtown,51.0471118,-114.0588037,Condo Unit,2150,2811 - 221 6 Ave SE,1,700,1,0,0,"['Heat', 'Water']"
3401,Calgary,Saddle Ridge,51.1293929,-113.9269453,Townhouse,2100,704 - 70 Saddlestone Drive,2,1600,2.5,0,0,['']
3402,Calgary,Mahogany,50.8911756,-113.9414382,Townhouse,2200,34 Mahogany Drive Southeast,2,1119,2.5,0,0,['']
3403,Calgary,Marlborough,51.0574013,-113.9688641,House,2100,4612 Maryvale Road Northeast,3,1290,1.5,2,0,['']
3404,Calgary,Creekstone,50.8610094,-114.0647942,Main Floor,2200,21 Creekstone Drive Southwest,3+den,1600,2.5,2,2,['See Full Description']
